model,policy,user_id,precision,recall,ndcg,novelty,ild,catalog_coverage,precision_ci_low,precision_ci_high,recall_ci_low,recall_ci_high,ndcg_ci_low,ndcg_ci_high,novelty_ci_low,novelty_ci_high,ild_ci_low,ild_ci_high,runtime_seconds,ndcg_norm,catalog_coverage_norm,novelty_norm,ild_norm,balanced_score
MatrixFactorization,weighted_diversity,499.5,0.1135,0.04729166666666666,0.12150385537997774,9.398221355239263,0.882642484087588,0.25666666666666665,0.1081475,0.1208,0.04506145833333333,0.050333333333333334,0.11457094338752424,0.1298405144605615,9.392903009512574,9.403987305540308,0.8807211860503141,0.8847879757394551,11.059592723846436,0.9417604048128956,0.31481481426826136,0.3550654180765486,0.7808991589230463,0.735585131337271
MatrixFactorization,relevance,499.5,0.1139,0.04745833333333334,0.12294087591082432,9.390899134363538,0.8361150282874334,0.25266666666666665,0.1079425,0.12121499999999999,0.04497604166666667,0.050506249999999996,0.11562321969523631,0.13138192516615121,9.38540722181901,9.395986266806412,0.833527091588429,0.8385719180322028,1.7430026531219482,0.9999999594720094,0.3078703698358732,0.34578893723715803,0.43350971141356476,0.7130753304825945
Hybrid,weighted_diversity,499.5,0.11270000000000001,0.04695833333333333,0.12119650491200966,9.408212116333615,0.8491776899129875,0.264,0.106795,0.11911999999999999,0.044497916666666665,0.04963333333333332,0.11445078403679597,0.12871831755292856,9.402224749834433,9.414423075703256,0.8471226317572965,0.8510717501430916,12.388767004013062,0.9293041079162981,0.3275462957276396,0.3677226576539479,0.5310398842344358,0.6950635849963674
Hybrid,relevance,499.5,0.11220000000000002,0.04675,0.12155091972009432,9.412771678585562,0.7995993592061235,0.25466666666666665,0.1063,0.11851,0.04429166666666667,0.04937916666666666,0.1145579621743233,0.12876466708918302,9.407032352497326,9.418337705104687,0.7968224271161414,0.8024353281517991,2.176999568939209,0.9436678279497803,0.31134259205206727,0.37349914167212556,0.16087159077183433,0.6458743040467833
ItemKNN,pareto,499.5,0.10810000000000003,0.04504166666666667,0.12057545835743985,9.15080592121091,0.8739797153862155,0.09733333333333333,0.102395,0.11365250000000002,0.04266458333333333,0.04735520833333333,0.11366407923473358,0.12796004731823618,9.148344897105039,9.153344831358918,0.8722559750605171,0.8756882068779434,18.645949602127075,0.9041343389503571,0.038194444378134636,0.04161618292134117,0.7162200488939476,0.6166784878517099
ItemKNN,weighted_novelty,499.5,0.1082,0.04508333333333333,0.12205085379098031,9.142284404608455,0.8358501415421571,0.09066666666666667,0.103,0.11410500000000001,0.042916666666666665,0.047543749999999996,0.11537941434821801,0.12914449256594437,9.140139829001747,9.144510706108967,0.8335126580023704,0.8381618882321898,3.968959331512451,0.9639291513076064,0.02662037032415446,0.030820321006373334,0.43153197894331363,0.6035069337602598
MatrixFactorization,weighted_novelty,499.5,0.10260000000000001,0.04275,0.11240884313594512,9.682743635963611,0.8374449574124847,0.5026666666666667,0.097995,0.10845250000000001,0.04083124999999999,0.04518854166666666,0.1064337460998603,0.11969669307072447,9.672687191648413,9.693669733699611,0.8347176088839663,0.8402138032106748,2.581636428833008,0.5731578334915296,0.7418981468601307,0.7155251106090764,0.4434394042375766,0.6003662076763588
MatrixFactorization,pareto,499.5,0.09280000000000001,0.03866666666666667,0.10211794999190739,9.861690980817219,0.9119876597245566,0.6306666666666667,0.08824750000000002,0.09825250000000002,0.03676979166666666,0.04093854166666666,0.09598749917602574,0.10860808918995954,9.850431126700254,9.873552574964105,0.9102705285557757,0.9138815047121975,16.61922025680542,0.15608861221867862,0.9641203686965504,0.942232504986869,0.9999999925336677,0.5218016666528362
ItemKNN,weighted_diversity,499.5,0.10210000000000001,0.04254166666666667,0.11563064721581051,9.119101603751988,0.8665104439514731,0.07666666666666666,0.09670000000000001,0.10765250000000001,0.04029166666666666,0.04485520833333333,0.10841013986688894,0.12256639166408036,9.117244463237226,9.120873457607424,0.8645316813387487,0.8682585643427743,13.559595346450806,0.7037310791637639,0.0023148148107960255,0.0014501597399483239,0.6604519860933831,0.48668463763668923
ItemKNN,relevance,499.5,0.1024,0.04266666666666667,0.116906972158601,9.117956946623403,0.8370948867573684,0.07533333333333334,0.0969,0.10855250000000001,0.040375,0.04523020833333333,0.11032625624141272,0.12390930578719603,9.116116261362203,9.119654955640152,0.8344817084174401,0.8392768436388159,3.596005916595459,0.7554579645302839,0.0,0.0,0.44082566038722576,0.48162572954974003
Hybrid,weighted_novelty,499.5,0.0952,0.03966666666666666,0.10481055559367697,9.781325682736453,0.778053092090647,0.5133333333333333,0.09,0.10100000000000002,0.0375,0.04208333333333333,0.09903037050446716,0.11185749871624473,9.76954575805528,9.793228911918485,0.775039358193408,0.7809341081974961,2.8319153785705566,0.26521450691087955,0.7604166653464989,0.8404181565192241,0.0,0.3859932020808422
Hybrid,pareto,499.5,0.091,0.03791666666666666,0.0982665719773866,9.907288697879371,0.8526493854079817,0.6513333333333333,0.0859475,0.096405,0.03581145833333334,0.04016875,0.0924585871188894,0.10462915252396726,9.895854797601112,9.919542767865975,0.8508897862536726,0.8544492833629703,17.671563863754272,0.0,0.999999998263889,0.9999999987331056,0.5569607165513236,0.38354410703224767
